"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Grouped 126 A"	"Abundances Grouped 126 B"	"Abundances Grouped 127N A"	"Abundances Grouped 127N B"	"Abundances Grouped 127C A"	"Abundances Grouped 127C B"	"Abundances Grouped 128N A"	"Abundances Grouped 128N B"	"Abundances Grouped 128C A"	"Abundances Grouped 128C B"	"Abundances Grouped 129N A"	"Abundances Grouped 129N B"	"Abundances Grouped 129C A"	"Abundances Grouped 129C B"	"Abundances Grouped 130N A"	"Abundances Grouped 130N B"	"Abundances Grouped 130C A"	"Abundances Grouped 130C B"	"Abundances Grouped 131 A"	"Abundances Grouped 131 B"	"Abundances Grouped CV in Percent 126 A"	"Abundances Grouped CV in Percent 126 B"	"Abundances Grouped CV in Percent 127N A"	"Abundances Grouped CV in Percent 127N B"	"Abundances Grouped CV in Percent 127C A"	"Abundances Grouped CV in Percent 127C B"	"Abundances Grouped CV in Percent 128N A"	"Abundances Grouped CV in Percent 128N B"	"Abundances Grouped CV in Percent 128C A"	"Abundances Grouped CV in Percent 128C B"	"Abundances Grouped CV in Percent 129N A"	"Abundances Grouped CV in Percent 129N B"	"Abundances Grouped CV in Percent 129C A"	"Abundances Grouped CV in Percent 129C B"	"Abundances Grouped CV in Percent 130N A"	"Abundances Grouped CV in Percent 130N B"	"Abundances Grouped CV in Percent 130C A"	"Abundances Grouped CV in Percent 130C B"	"Abundances Grouped CV in Percent 131 A"	"Abundances Grouped CV in Percent 131 B"
"False"	"High"	"IsMasterProtein"	"OEU23537.1"	"hypothetical protein FRACYDRAFT_233709 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.988"	"5"	"3"	"6"	"3"	"1"	"910"	"97.0"	"5.87"	"28.94"	"3"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"High"	"IsMasterProtein"	"OEU16383.1"	"hypothetical protein FRACYDRAFT_261222 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.977"	"12"	"4"	"12"	"4"	"1"	"278"	"27.3"	"4.89"	"38.97"	"4"	"0"	"8.7"	"4.7"	"4.6"	"4.6"	"8.6"	"4.2"	"6.0"	""	"5.8"	"9.3"	"7.4"	"5.8"	"5.4"	"10.7"	""	"9.0"	""	"6.1"	"4.8"	"6.7"	""	"111.58"	"93.77"	"105.30"	"99.79"	"45.09"	"115.85"	""	"93.48"	"41.33"	"80.71"	"103.76"	"117.61"	"80.96"	""	"89.54"	""	"77.70"	"89.38"	"75.92"
"False"	"High"	"IsMasterProtein"	"OEU08243.1"	"hypothetical protein FRACYDRAFT_264663 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.867"	"16"	"4"	"14"	"4"	"1"	"317"	"32.2"	"9.07"	"34.98"	"4"	"0"	""	"42.1"	""	"2.0"	""	"17.5"	""	"9.5"	""	"10.3"	""	"44.9"	""	"9.8"	""	"47.9"	""	"44.5"	"2.5"	"32.8"	""	""	""	"154.73"	""	""	""	""	""	""	""	""	""	"133.23"	""	""	""	""	""	""
"False"	"High"	"IsMasterProtein"	"OEU09562.1"	"beta-ketoacyl synthase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.856"	"4"	"1"	"4"	"1"	"1"	"463"	"48.4"	"5.40"	"21.54"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"High"	"IsMasterProtein"	"OEU21851.1"	"glyceraldehyde-3-phosphate dehydrogenase-like protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.820"	"9"	"4"	"10"	"4"	"1"	"477"	"51.4"	"4.92"	"36.31"	"4"	"0"	"5.8"	"8.5"	"5.8"	"10.1"	"3.5"	"5.3"	"2.0"	""	"6.7"	"5.1"	"5.2"	"7.8"	"2.1"	"9.3"	""	"10.8"	""	"8.9"	"3.8"	"7.2"	"23.39"	"14.52"	"27.26"	"11.43"	""	"57.13"	"75.82"	""	"7.97"	"17.86"	"13.96"	"10.95"	"1.61"	"34.35"	""	"13.93"	""	"28.99"	"7.44"	"32.39"
"False"	"High"	"IsMasterProtein"	"OEU09127.1"	"fucoxanthin chlorophyll a/c protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.807"	"18"	"4"	"11"	"4"	"1"	"208"	"22.4"	"5.38"	"34.08"	"4"	"0"	"11.6"	"2.4"	"11.2"	"2.7"	"5.2"	"4.0"	"2.5"	""	"8.6"	"3.3"	"4.6"	"2.5"	"5.6"	"4.0"	""	"3.2"	""	"3.4"	"5.7"	"2.8"	"57.30"	"29.35"	"8.14"	"22.45"	"30.63"	""	"31.34"	""	"32.94"	""	"12.77"	"47.50"	"41.40"	"40.22"	""	"38.31"	""	"67.13"	"22.87"	"28.04"
"False"	"High"	"IsMasterProtein"	"OEU22445.1"	"putative 60S ribosomal protein RPL18A [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.760"	"18"	"4"	"10"	"4"	"1"	"183"	"20.9"	"10.59"	"32.19"	"4"	"0"	"5.5"	"5.5"	"10.4"	"11.3"	"8.3"	"3.7"	"5.9"	""	"4.2"	"5.7"	"7.1"	"9.3"	"4.4"	"11.0"	""	"9.6"	""	"4.2"	"5.7"	"5.4"	"54.61"	"32.17"	"25.04"	"64.28"	"25.58"	"48.87"	"7.92"	""	"65.88"	"41.77"	"14.66"	"65.50"	"43.84"	"42.55"	""	"65.47"	""	"66.38"	"23.01"	"4.74"
"False"	"High"	"IsMasterProtein"	"OEU18998.1"	"protein disulfide-isomerase-like protein EhSep2 precursor [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.757"	"17"	"4"	"15"	"4"	"1"	"219"	"24.0"	"4.70"	"42.22"	"4"	"0"	"5.8"	"4.0"	"1.6"	"4.3"	"5.2"	"3.5"	"4.6"	""	"7.8"	"3.8"	"8.5"	"2.0"	"4.3"	"3.3"	""	"2.6"	""	"2.6"	"6.5"	"2.5"	""	"78.95"	"101.16"	"76.09"	"58.90"	"15.55"	"52.06"	""	"58.97"	"29.44"	"37.11"	"13.45"	"75.51"	"56.38"	""	"62.46"	""	"27.38"	"45.09"	"39.20"
"False"	"High"	"IsMasterProtein"	"OEU12586.1"	"CS-domain-containing protein, partial [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.742"	"28"	"3"	"5"	"3"	"1"	"145"	"16.4"	"5.67"	"21.68"	"3"	"0"	""	"1.6"	""	"2.5"	""	"1.5"	""	""	""	""	""	"1.7"	""	"3.7"	""	"2.9"	""	"2.6"	""	"2.1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"High"	"IsMasterProtein"	"OEU16733.1"	"tryptophan synthase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.698"	"8"	"6"	"11"	"6"	"1"	"686"	"73.1"	"5.12"	"31.91"	"6"	"0"	"4.5"	"2.1"	"4.5"	"3.2"	"5.8"	"3.4"	"2.2"	"0.4"	"9.0"	"2.4"	"4.7"	"4.2"	"3.1"	"3.9"	""	"2.4"	""	"1.8"	"5.8"	"4.5"	"98.60"	"102.46"	""	"118.71"	""	"105.63"	"63.11"	""	""	"37.01"	"75.17"	"110.42"	""	"86.13"	""	"121.79"	""	"118.10"	""	"69.35"
"False"	"High"	"IsMasterProtein"	"OEU21243.1"	"cell division protease ftsH 4 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.694"	"8"	"5"	"12"	"4"	"1"	"637"	"68.4"	"4.98"	"35.52"	"5"	"0"	"16.0"	"30.5"	"15.8"	"30.5"	"21.9"	"11.5"	"16.8"	""	"24.2"	"11.5"	"27.1"	"25.4"	"36.5"	"8.3"	""	"30.3"	""	"7.5"	"19.5"	"21.3"	"98.58"	""	"73.16"	""	"40.98"	""	"28.54"	""	"74.95"	""	"31.36"	""	"28.51"	"126.64"	""	""	""	"125.79"	"39.93"	""
"False"	"High"	"IsMasterProtein"	"OEU09134.1"	"fucoxanthin chlorophyll a/c protein, lhcf type [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.661"	"12"	"4"	"17"	"4"	"1"	"197"	"21.3"	"5.10"	"49.01"	"4"	"0"	"9.5"	"12.8"	"7.3"	"5.8"	"2.5"	"2.4"	"2.7"	"0.7"	"8.8"	"4.7"	"7.5"	"8.8"	"1.4"	"8.4"	""	"7.6"	""	"6.1"	"7.6"	"4.7"	"17.60"	"87.27"	"39.77"	"118.56"	"55.66"	"102.51"	"21.29"	"49.94"	"3.16"	""	"10.17"	"93.15"	""	"97.22"	""	"116.47"	""	"106.99"	"1.86"	"112.93"
"False"	"High"	"IsMasterProtein"	"OEU10245.1"	"valyl-tRNA synthetase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.641"	"5"	"4"	"6"	"4"	"1"	"890"	"99.9"	"5.03"	"20.41"	"4"	"0"	"7.9"	"6.5"	"3.8"	"5.7"	"13.6"	"5.3"	"9.1"	"0.9"	"11.1"	"7.2"	"10.8"	"8.4"	"14.4"	"8.5"	""	"7.7"	""	"7.0"	"8.1"	"5.4"	""	"58.72"	""	"109.04"	""	"64.42"	""	""	""	"15.65"	""	"77.99"	""	"85.07"	""	"87.40"	""	"67.42"	""	"72.60"
"False"	"High"	"IsMasterProtein"	"OEU16123.1"	"WD40 repeat-like protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.627"	"6"	"3"	"6"	"3"	"1"	"560"	"60.8"	"5.15"	"23.72"	"3"	"0"	"7.6"	"9.9"	"6.4"	"7.6"	"1.6"	"4.9"	""	""	"3.5"	"2.0"	""	"5.0"	""	"8.4"	""	"6.7"	""	"8.0"	"4.2"	"6.3"	""	"29.16"	""	"44.19"	""	""	""	""	"56.42"	"60.10"	""	"43.07"	""	"6.69"	""	"23.42"	""	"46.12"	""	"14.58"
"False"	"High"	"IsMasterProtein"	"OEU14958.1"	"hypothetical protein FRACYDRAFT_241517 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.627"	"6"	"4"	"7"	"4"	"1"	"839"	"90.0"	"4.42"	"28.22"	"4"	"0"	"9.6"	"3.2"	"17.8"	"2.0"	"35.8"	"3.7"	"41.1"	""	"8.6"	"12.4"	"11.0"	"8.2"	"9.1"	"2.1"	""	"9.8"	""	"11.7"	"32.7"	"7.3"	"124.66"	"136.17"	""	"145.91"	""	"108.44"	""	""	"130.18"	"101.71"	"125.32"	"128.36"	"129.64"	"148.15"	""	"118.81"	""	"116.77"	""	"125.16"
"False"	"High"	"IsMasterProtein"	"OEU20391.1"	"putative malate dehydrogenase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.625"	"13"	"6"	"14"	"6"	"1"	"467"	"50.4"	"6.70"	"41.02"	"6"	"0"	"8.6"	"13.7"	"10.0"	"17.3"	"2.6"	"9.2"	"2.5"	""	"10.7"	"9.2"	"10.0"	"18.8"	"6.1"	"19.9"	""	"17.3"	""	"15.2"	"6.6"	"14.1"	"0.10"	""	"5.65"	""	"45.36"	""	"10.60"	""	"27.40"	""	"17.65"	""	"21.99"	""	""	""	""	""	"9.57"	""
"False"	"High"	"IsMasterProtein"	"OEU07652.1"	"hypothetical protein FRACYDRAFT_264814 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.612"	"12"	"7"	"16"	"5"	"1"	"429"	"45.4"	"8.87"	"43.07"	"7"	"2"	"22.4"	"3.7"	"34.2"	"7.3"	"35.3"	"5.3"	"28.2"	""	"18.0"	"12.9"	"28.3"	"4.9"	"23.1"	"5.4"	"0.6"	"6.9"	"1.1"	"10.9"	"28.7"	"3.8"	"74.42"	"143.03"	"40.92"	"105.92"	"49.16"	"109.63"	"45.97"	""	"81.21"	"104.14"	"50.90"	"119.00"	"56.75"	"111.62"	""	"106.03"	""	"90.40"	"42.47"	"120.03"
"False"	"High"	"IsMasterProtein"	"OEU15248.1"	"fructose-1,6-biphosphate aldolase precursor [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.540"	"12"	"6"	"9"	"6"	"1"	"441"	"47.8"	"5.12"	"28.67"	"6"	"0"	"3.4"	"11.4"	"4.4"	"12.7"	"1.9"	"2.6"	""	""	"2.9"	"2.8"	"2.7"	"12.8"	"4.1"	"13.6"	""	"9.9"	""	"8.9"	"2.2"	"10.0"	"64.10"	"128.49"	""	"115.87"	""	"117.67"	""	""	"88.25"	"113.98"	"33.27"	"113.08"	""	"113.79"	""	"117.28"	""	"131.40"	""	"114.67"
"False"	"High"	"IsMasterProtein"	"OEU20433.1"	"2-keto-3-deoxyphosphogluconate aldolase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.532"	"18"	"5"	"12"	"5"	"1"	"255"	"27.0"	"5.96"	"33.34"	"5"	"0"	"7.9"	"3.8"	"7.8"	"3.4"	"5.9"	"3.1"	"3.2"	""	"11.0"	"5.1"	"9.9"	"6.1"	"3.0"	"4.7"	""	"5.2"	""	"6.5"	"7.4"	"5.2"	"46.83"	""	"50.59"	""	"84.93"	""	"127.44"	""	"47.21"	""	"94.48"	""	"75.67"	""	""	""	""	""	"58.14"	""
"False"	"High"	"IsMasterProtein"	"OEU15805.1"	"translation elongation factor 1A (EF-1A/EF-Tu) [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.512"	"12"	"5"	"10"	"5"	"1"	"411"	"45.6"	"5.17"	"31.34"	"5"	"0"	"11.4"	"10.8"	"8.9"	"9.6"	"3.8"	"8.4"	"1.9"	"0.3"	"12.2"	"8.3"	"5.7"	"12.6"	"2.9"	"13.2"	""	"9.4"	""	"8.5"	"8.2"	"6.1"	"69.58"	"88.72"	"62.81"	"85.12"	"88.42"	"86.77"	"89.17"	"111.51"	"71.68"	"22.17"	"111.22"	"93.16"	"120.55"	"71.07"	""	"103.33"	""	"101.29"	"80.91"	"108.32"
"False"	"High"	"IsMasterProtein"	"OEU12781.1"	"sulfite reductase, ferredoxin dependent [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.488"	"10"	"7"	"15"	"7"	"1"	"595"	"67.5"	"6.60"	"45.47"	"7"	"0"	"6.7"	"14.0"	"9.1"	"65.9"	"9.3"	"11.3"	"8.7"	"1.1"	"8.1"	"13.6"	"10.5"	"13.0"	"8.2"	"12.9"	""	"16.7"	""	"14.8"	"12.3"	"12.2"	"151.95"	"130.67"	"131.40"	""	"151.89"	"125.80"	"130.23"	""	"162.92"	"122.60"	"164.04"	"134.82"	"155.87"	"130.48"	""	"125.45"	""	"128.28"	"146.16"	"125.09"
"False"	"High"	"IsMasterProtein"	"cRAP_Q92764"	"Keratin, type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5"	"0.000"	"18.466"	"11"	"6"	"9"	"2"	"1"	"455"	"50.3"	"4.91"	"21.87"	"6"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"False"	"High"	"IsMasterProtein"	"OEU14563.1"	"SNF2_N-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.421"	"4"	"7"	"12"	"6"	"1"	"1599"	"183.5"	"8.02"	"33.00"	"7"	"0"	"11.3"	"6.1"	"9.4"	"7.9"	"4.8"	"2.9"	"2.0"	"0.8"	"8.4"	"3.6"	"5.2"	"6.0"	"3.0"	"8.0"	""	"6.6"	""	"4.7"	"4.3"	"5.4"	"44.10"	"73.67"	"46.63"	"71.61"	"43.89"	"48.34"	"65.92"	""	"56.87"	"64.70"	"33.84"	"74.06"	"81.02"	"69.24"	""	"70.54"	""	"84.95"	"56.28"	"75.66"
"False"	"High"	"IsMasterProtein"	"OEU12170.1"	"hypothetical protein FRACYDRAFT_270540, partial [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.382"	"11"	"6"	"9"	"6"	"1"	"524"	"58.3"	"5.63"	"30.01"	"6"	"0"	"6.2"	"6.0"	"4.1"	"5.9"	"3.4"	"1.6"	"3.4"	""	"6.9"	"2.1"	"5.3"	"4.9"	"5.2"	"5.1"	""	"6.0"	""	"4.2"	"4.2"	"4.2"	"77.15"	"64.13"	"74.38"	"41.06"	"72.83"	"57.81"	"68.00"	""	"66.07"	"62.74"	"79.10"	"10.47"	"36.53"	"29.65"	""	"8.12"	""	"10.06"	"77.01"	"73.33"
"False"	"High"	"IsMasterProtein"	"OEU06448.1"	"P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.353"	"5"	"6"	"9"	"6"	"1"	"1134"	"124.5"	"6.32"	"23.62"	"6"	"0"	"8.9"	"7.8"	"5.2"	"9.1"	"6.6"	"5.4"	"5.0"	"1.0"	"6.9"	"4.6"	"10.5"	"11.3"	"12.1"	"7.9"	""	"7.0"	""	"4.3"	"6.3"	"5.2"	"49.74"	"40.58"	"5.11"	"37.14"	"76.62"	"52.44"	"80.72"	"5.64"	"64.84"	"30.25"	"60.40"	"45.02"	"25.50"	"60.81"	""	"24.26"	""	"61.82"	"52.03"	"49.50"
"False"	"High"	"IsMasterProtein"	"OEU13791.1"	"Chloroa_b-bind-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.287"	"12"	"3"	"10"	"3"	"1"	"229"	"24.6"	"5.34"	"31.95"	"3"	"0"	"20.5"	"16.9"	"18.8"	"31.9"	"12.7"	"2.4"	"9.4"	""	"28.0"	"5.4"	"21.4"	"24.0"	"7.3"	"22.9"	""	"29.1"	""	"15.4"	"13.2"	"17.7"	"111.70"	"109.04"	"103.71"	"95.90"	"61.17"	"122.70"	"54.95"	""	"100.24"	"114.47"	"91.99"	"97.25"	"87.01"	"109.81"	""	"99.08"	""	"121.32"	"103.35"	"98.29"
"False"	"High"	"IsMasterProtein"	"OEU22422.1"	"2-oxoglutarate dehydrogenase complex protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.270"	"6"	"7"	"13"	"7"	"1"	"1043"	"117.9"	"6.29"	"33.32"	"7"	"0"	"49.5"	"22.2"	"39.2"	"24.4"	"16.7"	"9.6"	"15.1"	"1.1"	"7.6"	"11.4"	"29.3"	"24.5"	"19.4"	"23.5"	"0.4"	"21.7"	"1.2"	"20.4"	"25.7"	"17.0"	"34.05"	"119.18"	"31.21"	"119.30"	"77.02"	"121.25"	"82.53"	""	"115.62"	"117.10"	"92.65"	"118.76"	"95.54"	"121.63"	""	"121.15"	""	"109.35"	"88.47"	"117.74"
"False"	"High"	"IsMasterProtein"	"OEU19445.1"	"hypothetical protein FRACYDRAFT_260002 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.261"	"10"	"5"	"11"	"5"	"1"	"883"	"98.2"	"4.27"	"33.20"	"5"	"0"	"2.7"	"9.3"	"3.9"	"10.4"	"2.8"	"3.0"	"2.2"	"1.0"	"3.1"	"6.9"	"3.0"	"9.1"	"5.1"	"8.2"	""	"10.3"	""	"13.2"	"2.9"	"6.2"	"74.80"	"73.49"	"87.21"	"50.71"	"66.87"	"95.44"	"50.03"	"100.99"	"74.87"	"91.46"	"84.46"	"76.95"	"84.46"	"85.45"	""	"66.38"	""	"62.95"	"89.32"	"77.37"
"False"	"High"	"IsMasterProtein"	"OEU15692.1"	"hypothetical protein FRACYDRAFT_170369 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.154"	"14"	"4"	"7"	"4"	"1"	"314"	"34.7"	"8.54"	"21.95"	"4"	"0"	"4.9"	"11.5"	"3.6"	"11.4"	"5.5"	"5.8"	"2.9"	"0.1"	"5.1"	"7.8"	"10.3"	"11.9"	"2.3"	"14.9"	""	"7.8"	""	"9.2"	"6.1"	"7.9"	"72.61"	"76.76"	""	"33.82"	"66.08"	"36.30"	"36.38"	""	"71.25"	"73.42"	"53.14"	"51.23"	"45.83"	"41.35"	""	"72.04"	""	"55.46"	"6.96"	"33.16"
"False"	"High"	"IsMasterProtein"	"OEU07914.1"	"Ribosomal_L23-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.137"	"40"	"6"	"10"	"6"	"1"	"141"	"15.6"	"10.14"	"31.88"	"6"	"0"	"21.8"	"12.5"	"16.5"	"12.4"	"10.6"	"7.6"	"6.3"	"0.7"	"28.1"	"10.5"	"30.5"	"13.4"	"9.5"	"16.1"	""	"11.8"	""	"12.6"	"21.7"	"9.7"	"26.60"	"49.50"	"14.06"	"28.47"	"90.35"	"69.73"	"106.00"	""	"31.50"	"59.69"	"37.21"	"37.50"	"122.95"	"68.26"	""	"66.56"	""	"75.59"	"44.27"	"79.11"
"False"	"High"	"IsMasterProtein"	"OEU16413.1"	"hypothetical protein FRACYDRAFT_239007 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.084"	"10"	"7"	"11"	"7"	"1"	"775"	"85.1"	"5.64"	"31.24"	"7"	"0"	"10.7"	"9.9"	"8.8"	"9.4"	"2.4"	"4.4"	"2.3"	""	"7.8"	"3.4"	"6.7"	"6.0"	"6.4"	"8.0"	""	"3.3"	""	"6.7"	"7.7"	"7.6"	"39.88"	"67.14"	"1.42"	"61.19"	"71.30"	"95.94"	"88.38"	""	"65.97"	"112.92"	"101.36"	"105.15"	"67.98"	"93.27"	""	"97.67"	""	"74.19"	"28.64"	"43.22"
"False"	"High"	"IsMasterProtein"	"OEU16009.1"	"phosphoenolpyruvate carboxykinase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"18.019"	"7"	"4"	"6"	"4"	"1"	"609"	"67.6"	"5.19"	"21.23"	"4"	"0"	""	"4.5"	""	"5.6"	""	"1.8"	""	""	""	"3.7"	"1.9"	""	"2.2"	"2.7"	""	"4.0"	""	"3.2"	""	"2.9"	""	"58.95"	""	"29.77"	""	"63.62"	""	""	""	"9.56"	""	""	""	""	""	""	""	"27.74"	""	"20.16"
"False"	"High"	"IsMasterProtein"	"OEU18614.1"	"hypothetical protein FRACYDRAFT_207076 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.989"	"6"	"3"	"8"	"3"	"1"	"403"	"45.1"	"4.21"	"29.67"	"3"	"0"	"3.4"	"6.4"	"2.3"	"4.0"	"4.7"	"3.4"	"3.6"	"0.5"	"4.3"	"5.8"	"8.5"	"4.1"	"3.0"	"4.9"	""	"2.8"	""	"3.5"	"4.1"	"2.5"	"24.21"	"77.11"	"35.13"	"110.51"	"28.18"	"83.39"	"69.51"	""	"7.15"	"74.86"	"46.53"	"81.70"	"38.01"	"97.38"	""	"120.03"	""	"115.41"	"61.49"	"116.31"
"False"	"High"	"IsMasterProtein"	"OEU16208.1"	"putative oligosaccharyl transferase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.974"	"6"	"5"	"5"	"5"	"1"	"858"	"96.6"	"8.81"	"17.94"	"5"	"0"	"3.2"	""	"3.5"	""	"6.0"	""	"5.0"	""	"7.3"	""	"6.8"	""	"7.3"	""	""	""	""	""	"5.7"	""	"73.68"	""	"66.06"	""	"80.74"	""	"81.79"	""	"59.07"	""	"78.81"	""	"42.64"	""	""	""	""	""	"57.34"	""
"False"	"High"	"IsMasterProtein"	"OEU16196.1"	"hypothetical protein FRACYDRAFT_268915 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.959"	"9"	"6"	"9"	"6"	"1"	"560"	"62.3"	"4.48"	"27.32"	"6"	"0"	"14.9"	"10.1"	"89.0"	"10.9"	"57.8"	"6.2"	"7.9"	""	"16.4"	"21.4"	"14.1"	"11.9"	"9.3"	"10.2"	"1.6"	"9.1"	""	"9.4"	"11.7"	"6.4"	"167.90"	"153.64"	"133.75"	"151.10"	"135.94"	"144.00"	"165.96"	""	"167.78"	"124.47"	"167.31"	"151.43"	"165.65"	"154.96"	""	"154.08"	""	"151.63"	"167.47"	"153.01"
"False"	"High"	"IsMasterProtein"	"OEU13747.1"	"Creatinase/aminopeptidase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.936"	"14"	"6"	"9"	"6"	"1"	"403"	"43.3"	"6.35"	"29.92"	"6"	"0"	"3.9"	"4.0"	"3.4"	"5.1"	""	"3.4"	"1.6"	""	"3.5"	"3.4"	"4.8"	"6.1"	"4.0"	"5.9"	""	"5.1"	"1.3"	"6.1"	"5.1"	"4.8"	"78.23"	"71.32"	""	"49.88"	""	"52.27"	""	""	"66.86"	"30.33"	"25.70"	"39.94"	"125.42"	"53.34"	""	"48.99"	""	"25.51"	""	"16.03"
"False"	"High"	"IsMasterProtein"	"OEU08237.1"	"hypothetical protein FRACYDRAFT_264662 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.906"	"19"	"7"	"17"	"5"	"1"	"308"	"32.8"	"8.53"	"47.23"	"7"	"0"	"10.0"	"35.0"	"4.8"	"32.5"	"8.5"	"13.5"	"6.8"	"1.4"	"9.5"	"12.3"	"18.4"	"24.5"	"4.7"	"32.8"	"0.9"	"32.7"	""	"21.8"	"7.1"	"19.3"	"118.33"	"64.88"	"130.07"	"72.39"	"76.24"	"68.80"	"76.82"	""	"122.03"	"59.95"	"91.20"	"75.76"	"83.85"	"64.42"	"3.18"	"68.40"	""	"58.33"	"112.22"	"78.89"
"False"	"High"	"IsMasterProtein"	"OEU19725.1"	"PspA_IM30-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.891"	"14"	"5"	"9"	"5"	"1"	"319"	"34.6"	"5.19"	"29.18"	"5"	"0"	"14.8"	"16.5"	"4.7"	"6.4"	"10.8"	"3.0"	"10.7"	""	"7.4"	"7.2"	"16.0"	"7.4"	"21.4"	"5.6"	""	"15.0"	""	"3.0"	"22.2"	"21.2"	""	""	"105.94"	"116.05"	"117.55"	"129.72"	"109.61"	""	"125.54"	"118.87"	"121.22"	"101.79"	""	"126.04"	""	""	""	"127.81"	""	""
"False"	"High"	"IsMasterProtein"	"OEU07710.1"	"hypothetical protein FRACYDRAFT_250733 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.854"	"10"	"6"	"10"	"6"	"1"	"492"	"53.7"	"4.75"	"29.12"	"6"	"0"	"31.5"	"15.6"	"30.5"	"15.2"	"21.0"	"8.2"	"14.1"	""	"23.0"	"12.7"	"24.8"	"18.6"	"18.5"	"14.4"	"0.4"	"14.1"	"0.8"	"19.0"	"23.9"	"7.1"	"91.08"	"78.49"	"83.07"	"78.98"	"16.75"	"53.80"	"6.24"	""	"66.71"	"18.84"	"23.78"	"104.02"	"32.32"	"103.40"	""	"105.39"	""	"57.54"	"58.40"	"109.43"
"False"	"High"	"IsMasterProtein"	"OEU20777.1"	"Adenylosuccinate lyase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"17.822"	"12"	"7"	"10"	"7"	"1"	"461"	"51.5"	"5.55"	"28.93"	"7"	"0"	"36.0"	"21.4"	"27.0"	"28.6"	"16.9"	"5.9"	"7.3"	""	"30.8"	"6.1"	"24.5"	"5.9"	"28.3"	"8.7"	"1.2"	"7.7"	""	"6.0"	"23.7"	"20.6"	"17.37"	""	"34.15"	""	"49.38"	"93.71"	"115.16"	""	"1.31"	"104.50"	"90.25"	"118.64"	"39.59"	"121.20"	""	"118.19"	""	"123.07"	"46.96"	""
